itemID,adminYear,Grade,Subject,Cycle,Released,inScaling,mainSurBlock,Key,maxPoints,codDomainXScaling,itemLabel,contentDomain2015,mainTopic2015,Topic,T15Bullet,Objective,a_est,a_se,b_est,b_se,c_est,c_se,d1_est,d1_se,d2_est,d2_se
M031134,2007,4,M,3,Yes,Yes,M01,X,1,Applying,Jasmin's tally chart,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.549,0.041,0.779,0.074,,,,,,
M031045,2007,4,M,3,Yes,Yes,M01,A,1,Reasoning,Types of trees in pie charts,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,1.116,0.088,-0.658,0.081,0.16,0.039,,,,
M041274,2007,4,M,4,Yes,Yes,M02,X,1,Applying,Put the correct number on the scale,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.775,0.047,-0.374,0.048,,,,,,
M041203,2007,4,M,4,Yes,Yes,M02,X,1,Reasoning,Draw a bar to show Alonso's point,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.845,0.051,-0.042,0.042,,,,,,
M031240,2007,4,M,3,Yes,Yes,M03,X,1,Applying,Complete table by gender with hats,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.591,0.041,-0.614,0.067,,,,,,
M041275,2007,4,M,4,Yes,Yes,M04,X,2,Applying,Complete the bar graph,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.505,0.019,-0.691,0.045,,,-1.429,0.113,1.429,0.103
M041186,2007,4,M,4,Yes,Yes,M04,D,1,Knowing,On which day John pick 5 apples,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.935,0.071,-0.2,0.069,0.091,0.028,,,,
M041336,2007,4,M,4,Yes,Yes,M04,A,1,Reasoning,How many more girls in class A,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.231,0.145,0.939,0.06,0.202,0.022,,,,
M031172,2007,4,M,3,Yes,Yes,M05,A,1,Applying,Chart showing number of houses,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,1.375,0.103,-0.327,0.057,0.145,0.03,,,,
M031242B,2007,4,M,3,Yes,Yes,M05,X,1,Knowing,Renting bikes/same price,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.158,0.059,0.091,0.031,,,,,,
M031242C,2007,4,M,3,Yes,Yes,M05,B,1,Reasoning,Renting bikes/12 hours,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.118,0.111,0.092,0.08,0.265,0.035,,,,
M031135,2007,4,M,3,Yes,Yes,M07,B,1,Reasoning,Favorite fruit juice of classmates,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,1.061,0.084,-0.767,0.088,0.157,0.041,,,,
M051109,2011,4,M,5,Yes,Yes,M02,X,1,Knowing,Vanilla as favorite ice cream,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,1.087,0.057,-0.355,0.036,,,,,,
M051117,2011,4,M,5,Yes,Yes,M02,D,1,Reasoning,More students in the Pine School,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.014,0.12,0.285,0.099,0.303,0.039,,,,
M041335,2011,4,M,4,Yes,Yes,M03,B,1,Knowing,Class with fewest choose blue ,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.717,0.047,-1.313,0.131,0.157,0.051,,,,
M041184,2011,4,M,4,Yes,Yes,M03,A,1,Reasoning,Comparing pie chart with bar chart,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.917,0.056,-0.792,0.085,0.164,0.038,,,,
M051134,2011,4,M,5,No,Yes,M04,X,1,Applying,Months Peter paid less for phone,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.141,0.06,0.299,0.032,,,,,,
M051077,2011,4,M,5,No,Yes,M04,C,1,Applying,What students did after school,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.099,0.091,0.109,0.062,0.095,0.03,,,,
M031133,2011,4,M,3,Yes,Yes,M05,X,1,Applying,Favorite colors of Darin's friends,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.888,0.038,-1.313,0.049,,,,,,
M041175,2011,4,M,4,Yes,Yes,M06,A,1,Knowing,Type of cookie bakery sell most,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.826,0.054,-1.31,0.12,0.177,0.051,,,,
M041199,2011,4,M,4,Yes,Yes,M06,A,1,Reasoning,Representing data on the bar graph,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,1.244,0.071,-0.7,0.058,0.166,0.031,,,,
M031155,2011,4,M,3,Yes,Yes,M07,D,1,Applying,Teacher's pens on the graph,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.209,0.083,0.187,0.049,0.235,0.023,,,,
M051080,2011,4,M,5,No,Yes,M08,X,1,Applying,Complete the bar graph,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,1.082,0.058,-0.108,0.034,,,,,,
M041182,2011,4,M,4,No,Yes,M09,X,1,Applying,Complete the table,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.762,0.037,-1.806,0.071,,,,,,
M041200,2011,4,M,4,No,Yes,M09,X,2,Applying,Complete and label the bar graph,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.522,0.018,-0.477,0.031,,,-0.223,0.059,0.223,0.051
M051125A,2011,4,M,5,No,Yes,M10,X,1,Knowing,People visiting the website on Thu,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.823,0.053,-1.604,0.087,,,,,,
M051125B,2011,4,M,5,No,Yes,M10,D,1,Applying,How many more on Fri than Tue,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.637,0.089,-0.011,0.204,0.207,0.07,,,,
M041177,2011,4,M,4,No,Yes,M11,C,1,Applying,How many years older is Juan,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.884,0.053,-0.84,0.082,0.137,0.036,,,,
M041271,2011,4,M,4,No,Yes,M11,D,1,Reasoning,Selecting correct bar graph,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.915,0.057,-0.501,0.074,0.163,0.033,,,,
M041276A,2011,4,M,4,No,Yes,M11,X,1,Knowing,Who won the Triathlon,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.876,0.035,-0.052,0.028,,,,,,
M041276B,2011,4,M,4,No,Yes,M11,X,1,Reasoning,What Sue needs to improve on,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.765,0.034,0.659,0.035,,,,,,
M051009,2011,4,M,5,No,Yes,M12,X,1,Applying,Family water use each day,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.737,0.044,-0.152,0.046,,,,,,
M051100,2011,4,M,5,No,Yes,M12,A,1,Reasoning,Favorite season of students,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.611,0.082,0.089,0.185,0.142,0.065,,,,
M041174,2011,4,M,4,No,Yes,M13,X,1,Knowing,Students sold more than 10 boxes ,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.922,0.038,-1.001,0.04,,,,,,
M041191,2011,4,M,4,No,Yes,M13,D,1,Applying,Peter's height,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.807,0.058,-1.656,0.155,0.23,0.064,,,,
M051507A,2011,4,M,5,No,Yes,M14,X,1,Knowing,Most frequent score on quiz,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.702,0.045,-0.782,0.064,,,,,,
M051507B,2011,4,M,5,No,Yes,M14,X,1,Applying,Score of 4 or more on quiz,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.987,0.058,0.794,0.042,,,,,,
M031350A,2007,4,M,3,Yes,Yes,M03,X,1,Applying,Marytown_Add a park,Geometric Shapes and Measures,"Points, Lines and Angles",G1,1,G11,0.933,0.052,0.298,0.038,,,,,,
M031350B,2007,4,M,3,Yes,Yes,M03,X,1,Reasoning,Marytown_Add a library,Geometric Shapes and Measures,"Points, Lines and Angles",G1,1,G11,0.993,0.054,-0.17,0.037,,,,,,
M031350C,2007,4,M,3,Yes,Yes,M03,X,1,Applying,Marytown_Add a school,Geometric Shapes and Measures,"Points, Lines and Angles",G1,1,G11,0.726,0.047,0.647,0.053,,,,,,
M041131,2007,4,M,4,Yes,Yes,M04,C,1,Knowing,Estimate the height of the tree,Geometric Shapes and Measures,"Points, Lines and Angles",G1,1,G11,0.621,0.122,1.581,0.146,0.18,0.034,,,,
M051064A,2011,4,M,5,Yes,Yes,M02,X,1,Knowing,Complete the table,Geometric Shapes and Measures,"Points, Lines and Angles",G1,4,G14,0.797,0.046,-0.236,0.043,,,,,,
M051064B,2011,4,M,5,Yes,Yes,M02,X,1,Applying,Put an X where Troy lives,Geometric Shapes and Measures,"Points, Lines and Angles",G1,4,G14,0.721,0.045,-0.994,0.067,,,,,,
M041329,2011,4,M,4,Yes,Yes,M03,A,1,Knowing,Which one is a right angle ,Geometric Shapes and Measures,"Points, Lines and Angles",G1,3,G13,0.988,0.088,0.161,0.082,0.385,0.029,,,,
M031109,2011,4,M,3,Yes,Yes,M05,C,1,Knowing,The angles ordered by size,Geometric Shapes and Measures,"Points, Lines and Angles",G1,3,G13,0.737,0.058,-0.251,0.106,0.216,0.039,,,,
M041160A,2011,4,M,4,Yes,Yes,M06,X,1,Knowing,Position of the shop,Geometric Shapes and Measures,"Points, Lines and Angles",G1,4,G14,0.995,0.043,-1.367,0.047,,,,,,
M041160B,2011,4,M,4,Yes,Yes,M06,X,1,Applying,Mark Lucy's house,Geometric Shapes and Measures,"Points, Lines and Angles",G1,4,G14,1.21,0.053,-1.447,0.044,,,,,,
M031004,2011,4,M,3,Yes,Yes,M07,B,1,Applying,Length of string pulled straight,Geometric Shapes and Measures,"Points, Lines and Angles",G1,1,G11,0.872,0.07,0.997,0.049,0.103,0.017,,,,
M031325,2011,4,M,3,Yes,Yes,M07,X,1,Applying,Angle between 90 and 180 degrees,Geometric Shapes and Measures,"Points, Lines and Angles",G1,3,G13,0.938,0.039,0.705,0.03,,,,,,
